run,job_index,job_id,dataset_id,method,track,seed,preprocessing_profile,fit_scope,output_type,scib_commit,kbet_commit,scoring_backend,paper_environment_lock_sha256,split_seed,model_seed,anchor_seed,split_id,heldout_batch,dimension,expected_dimension,actual_dimension,embedding_sha256,job_spec_sha256,scib_result_sha256,metric__PCR_batch,status__PCR_batch,metric__ASW_label/batch,status__ASW_label/batch,metric__iLISI,status__iLISI,metric__graph_conn,status__graph_conn,metric__kBET,status__kBET,metric__NMI_cluster/label,status__NMI_cluster/label,metric__ARI_cluster/label,status__ARI_cluster/label,metric__ASW_label,status__ASW_label,metric__isolated_label_F1,status__isolated_label_F1,metric__isolated_label_silhouette,status__isolated_label_silhouette,metric__cLISI,status__cLISI,metric__hvg_overlap,status__hvg_overlap,metric__cell_cycle_conservation,status__cell_cycle_conservation,metric__trajectory,status__trajectory
baseline_extension_v1_1,0,v1_1__sclsc_refonly__pancreas__heldout_fluidigmc1__s40,pancreas,sclsc_refonly,heldout,40,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,40,,heldout_fluidigmc1,fluidigmc1,16,16,16,fec2f4d7be7bd7c011bef4170c6756d50f8a730c21ebd99d926da0ab1c5bf2e2,f614b3f49f2d5dbfa3fae777e6c29af0f9db0f6a677182ebd94fced54cabdfe3,c276fac23593a1734473434089342805c5186cf53d59e9017c8e8526f95ea75b,0.9265594350537032,computed,0.7524565667335666,computed,2.886225198966112,computed,0.9126637594902257,computed,0.0036460901122844502,computed,0.7143339526978025,computed,0.2835038877637241,computed,0.9698740541934967,computed,0.13043478260869565,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.38643446805068216,computed,,not_applicable
baseline_extension_v1_1,1,v1_1__sclsc_refonly__pancreas__heldout_fluidigmc1__s41,pancreas,sclsc_refonly,heldout,41,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,41,,heldout_fluidigmc1,fluidigmc1,16,16,16,54f56015074eb7884b40b74caac10d596b54779479c4c2b376724748453494c9,8ec6141d863e61e4f985cd5fea4cca5077ca37e6e2cff2a1b25d453374150dca,69d5d85362a1e2b95c0e8580ec28599747866fd9b5ec485d2db9321d29982b4e,0.9200410449595452,computed,0.7439276483724023,computed,3.0871825702514633,computed,0.9275305838187643,computed,0.0015595001448218682,computed,0.7180321771750393,computed,0.2951923138450037,computed,0.9673936367034912,computed,0.09375000000000001,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.3929271320777106,computed,,not_applicable
baseline_extension_v1_1,2,v1_1__sclsc_refonly__pancreas__heldout_fluidigmc1__s42,pancreas,sclsc_refonly,heldout,42,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,42,,heldout_fluidigmc1,fluidigmc1,16,16,16,ae33b0edcc8de490e7f3c709af6c222eea616000b6b4c17fd1dc25ce67409ab6,854dea7d4470c5651c4a46e2dee0048a0bcecfb13ff575540459de7e21571a72,4a6808f79d11fcc19e0962675025b76e8c87d6da7824cac7c492c1a770d844a8,0.9351953125249798,computed,0.7700833588239876,computed,2.8953220226360323,computed,0.9781779375468602,computed,0.0004882288317760164,computed,0.7056898152721248,computed,0.26942256849960305,computed,0.9687605500221252,computed,0.07692307692307693,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.42293112074517375,computed,,not_applicable
baseline_extension_v1_1,3,v1_1__sclsc_refonly__pancreas__heldout_fluidigmc1__s43,pancreas,sclsc_refonly,heldout,43,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,43,,heldout_fluidigmc1,fluidigmc1,16,16,16,6266525885b495b396c5223c841cd5dce16da423f78849a723d206bf2b8e56dc,cd5cd667bed9e7eb2459999d2530cb4cf998d7ccca6070de42e383a67d83a0d8,c0b4e3de7db741aff6922713d4c97c91e20490910efed16f75bc2bdab1431a5a,0.9190744113511091,computed,0.73762546181231,computed,2.8139314497443015,computed,0.9905586839832974,computed,0.0026085228962041684,computed,0.6965703472663892,computed,0.26333059191095765,computed,0.9666111767292023,computed,0.07751937984496123,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.35143937544356535,computed,,not_applicable
baseline_extension_v1_1,4,v1_1__sclsc_refonly__pancreas__heldout_fluidigmc1__s44,pancreas,sclsc_refonly,heldout,44,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,44,,heldout_fluidigmc1,fluidigmc1,16,16,16,59ea10a38cffb9f3377694697c8bf66836088f9f9e1147183e035450146a9456,b242af05cef93b281f9b6639fc75537c806a5863641351011ca17ef8f7bd0743,1272269d53650a1d84bd909c6ca6b11c40a2ff2598d85fcc039de7400beae0d7,0.9479712383446709,computed,0.7715800897844989,computed,3.018643192848854,computed,0.9312486046033344,computed,0.006109285452682522,computed,0.6944872709520409,computed,0.2535251193069345,computed,0.9698713421821594,computed,0.23076923076923078,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.3551805946687508,computed,,not_applicable
baseline_extension_v1_1,5,v1_1__sclsc_refonly__pancreas__heldout_inDrop2__s40,pancreas,sclsc_refonly,heldout,40,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,40,,heldout_inDrop2,inDrop2,16,16,16,721edca02f338ac6fd3653db632bb80f82a04240fa81b54963d1b63b0b13c5b8,761be1b80b5ddabc214ba9b7c5d9fc01391db0fc48cbabdeb734a3c5947c54b7,5446357e0a974648bd4dc36f1f1beb7da34c2ac895e27cff2aa3479f5400b92b,0.9268169777100354,computed,0.7436757534643867,computed,3.1489143499764003,computed,0.9954666447892199,computed,0.00021110496444953775,computed,0.7157409769052981,computed,0.2958368089326051,computed,0.9645191729068756,computed,0.10294117647058823,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.37367480102764883,computed,,not_applicable
baseline_extension_v1_1,6,v1_1__sclsc_refonly__pancreas__heldout_inDrop2__s41,pancreas,sclsc_refonly,heldout,41,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,41,,heldout_inDrop2,inDrop2,16,16,16,e217b7d94772611eefa5ca5f440c58a205328b6c5e43598f9a8b9697e2c79c4e,18802f564e19ded2942ad40e8b6226ffcd9e79be540b6d77b958e796c9cf5a9a,2abb2e31d944b5e71b0d63e5377843a36122f84e4b5f8ebc212307ccaa57a756,0.9364406434418345,computed,0.7579252631501807,computed,2.706867838939086,computed,0.9830333476871099,computed,0.001483158756120928,computed,0.7057394923828325,computed,0.26860546107636296,computed,0.9633971750736237,computed,0.18518518518518517,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.33462583765462367,computed,,not_applicable
baseline_extension_v1_1,7,v1_1__sclsc_refonly__pancreas__heldout_inDrop2__s42,pancreas,sclsc_refonly,heldout,42,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,42,,heldout_inDrop2,inDrop2,16,16,16,db63f723c380ecf10c9871e478c325f8a715f36b052ecd41b387e2d1cf754b5c,af33f286ea47e86c3dcd9d5d92fd7c1fc392894f98d09a96dff55f2679be51aa,ac215a6414a6ed4204b5512f94f42d26960afafb9a3e1a8bad6155745a25d9f0,0.9317660122843215,computed,0.7327001012077424,computed,2.91402707823271,computed,0.9274648778259406,computed,0.00043441302187297026,computed,0.6985602938773463,computed,0.26211090156229316,computed,0.9637260138988495,computed,0.07734806629834255,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.38075129279937703,computed,,not_applicable
baseline_extension_v1_1,8,v1_1__sclsc_refonly__pancreas__heldout_inDrop2__s43,pancreas,sclsc_refonly,heldout,43,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,43,,heldout_inDrop2,inDrop2,16,16,16,d7e0078ebf44754518d58d59da21fb3665c6f7e56abd0178172b5934841d1a16,466c1151ed987905c0af9bdf007452fb009f52cb6101b3de3a6e38617cd9bbff,7ef80dc136b9a2abebb1a85beacd5f4ea44a0125f50569791e6d221dba1820fe,0.9380449041389816,computed,0.7497055678949608,computed,2.9578263019316577,computed,0.9353388248980844,computed,0.0020763294905667973,computed,0.7030302390083233,computed,0.26824163484421304,computed,0.9652858972549438,computed,0.14814814814814814,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.3419603292913749,computed,,not_applicable
baseline_extension_v1_1,9,v1_1__sclsc_refonly__pancreas__heldout_inDrop2__s44,pancreas,sclsc_refonly,heldout,44,hvg2000_pca40,reference_only_with_reference_internal_validation,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,afc5f431bcbefd73267acc066a0f2e4eaa10a355,paper_scib_0_2_0,9fbdc1dd3a9c39607163dc2dfd81f5fb7055d8adde5c485d7a092b85fa504e00,,44,,heldout_inDrop2,inDrop2,16,16,16,3b1e8f9cea75c7cb527c42bf45ab2d16752a9f0de2c05ec99d824b879bbb3aa4,abd309649ee2dce792551ab55b2930acc31bbf95b32b850d1ba147117be54b53,fb31f22f1486b08a47220eb0ac3597c1e6c15cfa96828151a64e4834eddf72be,0.9466753530230904,computed,0.7278487154717616,computed,2.932587475755903,computed,0.9970031269187922,computed,0.0006458568033773648,computed,0.7003766840222754,computed,0.26172585988300445,computed,0.9612308740615845,computed,0.10294117647058823,computed,0.4959421381354332,computed,1.0,computed,,not_applicable,0.2967726700602424,computed,,not_applicable
